movie_title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
Inside Out,"$857,611,174.00","$356,461,711.00",41.60%,"$501,149,463.00",58.40%
Venom,"$856,085,151.00","$213,515,506.00",24.90%,"$642,569,645.00",75.10%
Thor: Ragnarok,"$853,977,126.00","$315,058,289.00",36.90%,"$538,918,837.00",63.10%
The Twilight Saga: Breaking Dawn - Part 2,"$829,746,820.00","$292,324,737.00",35.20%,"$537,422,083.00",64.80%
Inception,"$826,137,188.00","$292,576,195.00",35.40%,"$533,560,993.00",64.60%
"Hi, Mom","$822,009,764.00",-,-,"$822,009,764.00",100%
Wonder Woman,"$821,847,012.00","$412,563,408.00",50.20%,"$409,283,604.00",49.80%
Fantastic Beasts and Where to Find Them,"$814,037,575.00","$234,037,575.00",28.80%,"$580,000,000.00",71.20%
Coco,"$807,816,196.00","$210,460,015.00",26.10%,"$597,356,181.00",73.90%
Black Panther: Wakanda Forever,"$806,857,711.00","$431,554,851.00",53.50%,"$375,302,860.00",46.50%
Jumanji: The Next Level,"$801,693,929.00","$320,314,960.00",40%,"$481,378,969.00",60%
Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794.00","$172,558,876.00",21.70%,"$622,302,918.00",78.30%
Mission: Impossible - Fallout,"$791,115,104.00","$220,159,104.00",27.80%,"$570,956,000.00",72.20%
Fast & Furious 6,"$788,679,850.00","$238,679,850.00",30.30%,"$550,000,000.00",69.70%
Deadpool,"$782,612,155.00","$363,070,709.00",46.40%,"$419,541,446.00",53.60%
No Time to Die,"$774,153,007.00","$160,891,007.00",20.80%,"$613,262,000.00",79.20%
Guardians of the Galaxy,"$772,776,600.00","$333,176,600.00",43.10%,"$439,600,000.00",56.90%
The Batman,"$770,836,163.00","$369,345,583.00",47.90%,"$401,490,580.00",52.10%
Thor: Love and Thunder,"$760,928,081.00","$343,256,830.00",45.10%,"$417,671,251.00",54.90%
Fast & Furious Presents: Hobbs & Shaw,"$760,732,926.00","$173,956,935.00",22.90%,"$586,775,991.00",77.10%
Maleficent,"$758,410,378.00","$241,410,378.00",31.80%,"$517,000,000.00",68.20%
The Amazing Spider-Man,"$757,930,663.00","$262,030,663.00",34.60%,"$495,900,000.00",65.40%
The Hunger Games: Mockingjay - Part 1,"$755,356,711.00","$337,135,885.00",44.60%,"$418,220,826.00",55.40%
Shrek Forever After,"$752,600,867.00","$238,736,787.00",31.70%,"$513,864,080.00",68.30%
Madagascar 3: Europe's Most Wanted,"$746,921,274.00","$216,391,482.00",29%,"$530,529,792.00",71%
Suicide Squad,"$746,846,894.00","$325,100,054.00",43.50%,"$421,746,840.00",56.50%
X-Men: Days of Future Past,"$746,045,700.00","$233,921,534.00",31.40%,"$512,124,166.00",68.60%
Monsters University,"$743,559,607.00","$268,492,764.00",36.10%,"$475,066,843.00",63.90%
Deadpool 2,"$734,546,611.00","$318,491,426.00",43.40%,"$416,055,185.00",56.60%
F9: The Fast Saga,"$726,229,501.00","$173,005,945.00",23.80%,"$553,223,556.00",76.20%
Ne Zha,"$726,063,471.00","$3,695,533.00",0.50%,"$722,367,938.00",99.50%
Gravity,"$723,192,705.00","$274,092,705.00",37.90%,"$449,100,000.00",62.10%
Captain America: The Winter Soldier,"$714,421,503.00","$259,766,572.00",36.40%,"$454,654,931.00",63.60%
The Twilight Saga: Breaking Dawn - Part 1,"$712,205,856.00","$281,287,133.00",39.50%,"$430,918,723.00",60.50%
